"success","timeout","failed_images","failed_audio","failed_video","typeoftrial","subject","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","rt","response","Experiment","stimulus","list_number","trialcondition","correct","question_order"
"true","false","[]","[]","[]","preload","14703","preload","0","1881","0.0-0.0","105","4","2022-11-17 12:31:19","fd252370c17a9971d68c1d4354a03c2e","","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Firefox/106.0","","Firefox","106.0","Windows","10.0","","","","","","","",""
"","","","","","ID","14703","survey-text","1","20749","0.0-1.0","105","4","2022-11-17 12:31:19","fd252370c17a9971d68c1d4354a03c2e","","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Firefox/106.0","","Firefox","106.0","Windows","10.0","18856","{""ID"":""5dc368ce880a2927e264dbec""}","","","","","",""
"","","","","","instructions","14703","html-button-response","2","117677","0.0-2.0","105","4","2022-11-17 12:31:19","fd252370c17a9971d68c1d4354a03c2e","","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Firefox/106.0","","Firefox","106.0","Windows","10.0","96923","0","","
                    <p style=""font-size:20px;""> Welcome to the experiment! </p>
                    <p style=""font-size:20px;""> In this experiment, you will be asked to make judgments about the content of different sentences.</p>
                    <p style=""font-size:20px;""> On each trial, you will read a sentence, and will be shown a picture immediately following the sentence. </p>
                    <p style=""font-size:20px;""> Your task is to decide whether the object displayed in the picture was mentioned in the sentence or not </p>
                    <p style=""font-size:20px;""> and respond as quickly as possible by pressing <strong>S</strong> for yes or <strong>N</strong> for no. </p>
                    <p style=""font-size:20px;""> You will now do a practice session with feedback and instructions. </p>
                    <p style=""font-size:20px;""> Click the button below to continue.</p>
                    ","","","",""
"","","","","","instructions","14703","html-button-response","3","131579","0.0-3.0","105","4","2022-11-17 12:31:19","fd252370c17a9971d68c1d4354a03c2e","","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Firefox/106.0","","Firefox","106.0","Windows","10.0","13896","0","","
                    <p style=""font-size:20px;""> You are about to begin the practice test. </p>
                    <p style=""font-size:20px;""> On each trial, a sentence will appear on the screen. You should press SPACEBAR when you have read and understood the sentence.</p>
                    <p style=""font-size:20px;""> After you press SPACEBAR, a picture will appear on the screen. </p>
                    <p style=""font-size:20px;""> You need to indicate whether or not the pictured object was mentioned in the sentence. </p>
                    <p style=""font-size:20px;""> If the object WAS mentioned in the preceding sentence, you should press <strong>S</strong> </p>
                    <p style=""font-size:20px;""> If the object was NOT mentioned in the preceding sentence, you should press <strong>N</strong>. </p>
                    <p style=""font-size:20px;""> Click the button below to continue to the practice session.</p>
                    ","","","",""
"","","","","","fixation","14703","html-keyboard-response","4","132585","0.0-4.0-0.0","105","4","2022-11-17 12:31:19","fd252370c17a9971d68c1d4354a03c2e","","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Firefox/106.0","","Firefox","106.0","Windows","10.0","null","null","","<p style=""font-size: 48px;"">+</p>","practice","practice_s","",""
"","","","","","sentence","14703","html-keyboard-response","5","137021","0.0-4.0-1.0","105","4","2022-11-17 12:31:19","fd252370c17a9971d68c1d4354a03c2e","","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Firefox/106.0","","Firefox","106.0","Windows","10.0","4432"," ","","A bowling ball dropped and smashed a teacup","practice","practice_s","",""
"","","","","","fixation","14703","html-keyboard-response","6","137528","0.0-4.0-2.0","105","4","2022-11-17 12:31:19","fd252370c17a9971d68c1d4354a03c2e","","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Firefox/106.0","","Firefox","106.0","Windows","10.0","null","null","","<p style=""font-size: 48px;"">+</p>","practice","practice_s","",""
"","","","","","picture","14703","image-keyboard-response","7","146009","0.0-4.0-3.0","105","4","2022-11-17 12:31:19","fd252370c17a9971d68c1d4354a03c2e","","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Firefox/106.0","","Firefox","106.0","Windows","10.0","8471","s","","cupB.jpg","practice","practice_s","true",""
"","","","","","","","html-keyboard-response","8","148027","0.0-4.0-4.0","105","4","2022-11-17 12:31:19","fd252370c17a9971d68c1d4354a03c2e","","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Firefox/106.0","","Firefox","106.0","Windows","10.0","null","null","","CORRECT!","","","",""
"","","","","","fixation","14703","html-keyboard-response","9","149041","0.0-4.0-0.1","105","4","2022-11-17 12:31:19","fd252370c17a9971d68c1d4354a03c2e","","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Firefox/106.0","","Firefox","106.0","Windows","10.0","null","null","","<p style=""font-size: 48px;"">+</p>","practice","practice_s","",""
"","","","","","sentence","14703","html-keyboard-response","10","151762","0.0-4.0-1.1","105","4","2022-11-17 12:31:19","fd252370c17a9971d68c1d4354a03c2e","","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Firefox/106.0","","Firefox","106.0","Windows","10.0","2718"," ","","A balloon dropped and touched a cigarette","practice","practice_s","",""
"","","","","","fixation","14703","html-keyboard-response","11","152264","0.0-4.0-2.1","105","4","2022-11-17 12:31:19","fd252370c17a9971d68c1d4354a03c2e","","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Firefox/106.0","","Firefox","106.0","Windows","10.0","null","null","","<p style=""font-size: 48px;"">+</p>","practice","practice_s","",""
"","","","","","picture","14703","image-keyboard-response","12","153273","0.0-4.0-3.1","105","4","2022-11-17 12:31:19","fd252370c17a9971d68c1d4354a03c2e","","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Firefox/106.0","","Firefox","106.0","Windows","10.0","1005","s","","cigaretteB.jpg","practice","practice_s","true",""
"","","","","","","","html-keyboard-response","13","155285","0.0-4.0-4.1","105","4","2022-11-17 12:31:19","fd252370c17a9971d68c1d4354a03c2e","","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Firefox/106.0","","Firefox","106.0","Windows","10.0","null","null","","CORRECT!","","","",""
"","","","","","fixation","14703","html-keyboard-response","14","156298","0.0-4.0-0.2","105","4","2022-11-17 12:31:19","fd252370c17a9971d68c1d4354a03c2e","","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Firefox/106.0","","Firefox","106.0","Windows","10.0","null","null","","<p style=""font-size: 48px;"">+</p>","practice","practice_n","",""
"","","","","","sentence","14703","html-keyboard-response","15","158487","0.0-4.0-1.2","105","4","2022-11-17 12:31:19","fd252370c17a9971d68c1d4354a03c2e","","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Firefox/106.0","","Firefox","106.0","Windows","10.0","2185"," ","","A fork was placed on a stool","practice","practice_n","",""
"","","","","","fixation","14703","html-keyboard-response","16","159003","0.0-4.0-2.2","105","4","2022-11-17 12:31:19","fd252370c17a9971d68c1d4354a03c2e","","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Firefox/106.0","","Firefox","106.0","Windows","10.0","null","null","","<p style=""font-size: 48px;"">+</p>","practice","practice_n","",""
"","","","","","picture","14703","image-keyboard-response","17","160633","0.0-4.0-3.2","105","4","2022-11-17 12:31:19","fd252370c17a9971d68c1d4354a03c2e","","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Firefox/106.0","","Firefox","106.0","Windows","10.0","1625","s","","tableB.jpg","practice","practice_n","false",""
"","","","","","","","html-keyboard-response","18","162637","0.0-4.0-4.2","105","4","2022-11-17 12:31:19","fd252370c17a9971d68c1d4354a03c2e","","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Firefox/106.0","","Firefox","106.0","Windows","10.0","null","null","","WRONG!","","","",""
