success,timeout,failed_images,failed_audio,failed_video,typeoftrial,subject,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,sona_id,rt,response,Experiment,stimulus,list_number,trialcondition,correct,question_order
,,,,,sentence,3825,html-keyboard-response,151,180386,0.0-5.0-1.29,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,837, ,,A dentist is drinking a can of cola,3,Filler,,
,,,,,fixation,3825,html-keyboard-response,152,180905,0.0-5.0-2.29,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,null,null,,"<p style=""font-size: 48px;"">+</p>",3,Filler,,
,,,,,picture,3825,image-keyboard-response,153,181380,0.0-5.0-3.29,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,464,n,,doll.jpg,3,Filler,TRUE,
,,,,,fixation,3825,html-keyboard-response,154,182393,0.0-5.0-0.30,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,null,null,,"<p style=""font-size: 48px;"">+</p>",3,Filler,,
,,,,,sentence,3825,html-keyboard-response,155,183442,0.0-5.0-1.30,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,1039, ,,A man is shaving his beard,3,Filler,,
,,,,,fixation,3825,html-keyboard-response,156,183953,0.0-5.0-2.30,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,null,null,,"<p style=""font-size: 48px;"">+</p>",3,Filler,,
,,,,,picture,3825,image-keyboard-response,157,184472,0.0-5.0-3.30,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,507,n,,clock.jpg,3,Filler,TRUE,
,,,,,fixation,3825,html-keyboard-response,158,185489,0.0-5.0-0.31,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,null,null,,"<p style=""font-size: 48px;"">+</p>",3,Filler,,
,,,,,sentence,3825,html-keyboard-response,159,186194,0.0-5.0-1.31,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,694, ,,A ring was placed on the newspaper,3,Filler,,
,,,,,fixation,3825,html-keyboard-response,160,186713,0.0-5.0-2.31,20,3,2022-11-17 00:47:26,1e2a314d68345bcc521be5de8e44be57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Macintosh,Chrome,107.0.0.0,OS X,10_15_7,12936,null,null,,"<p style=""font-size: 48px;"">+</p>",3,Filler,,
